DATE,CEU0500000011
2006-03-01,682.38
2006-04-01,700.38
2006-05-01,684.05
2006-06-01,689.38
2006-07-01,703.72
2006-08-01,694.14
2006-09-01,698.01
2006-10-01,711.70
2006-11-01,701.09
2006-12-01,708.64
2007-01-01,701.39
2007-02-01,706.18
2007-03-01,709.65
2007-04-01,724.16
2007-05-01,712.41
2007-06-01,716.57
2007-07-01,728.71
2007-08-01,717.26
2007-09-01,734.98
2007-10-01,720.64
2007-11-01,722.70
2007-12-01,741.24
2008-01-01,723.86
2008-02-01,726.24
2008-03-01,744.59
2008-04-01,732.91
2008-05-01,731.88
2008-06-01,747.50
2008-07-01,735.39
2008-08-01,741.41
2008-09-01,741.46
2008-10-01,742.48
2008-11-01,755.42
2008-12-01,744.44
2009-01-01,740.88
2009-02-01,755.48
2009-03-01,753.26
2009-04-01,741.36
2009-05-01,740.54
2009-06-01,739.72
2009-07-01,743.60
2009-08-01,760.09
2009-09-01,748.14
2009-10-01,752.39
2009-11-01,767.45
2009-12-01,756.44
2010-01-01,758.59
2010-02-01,758.35
2010-03-01,759.82
2010-04-01,766.02
2010-05-01,777.44
2010-06-01,761.79
2010-07-01,766.42
2010-08-01,782.14
2010-09-01,770.66
2010-10-01,778.27
2010-11-01,776.00
2010-12-01,778.39
2011-01-01,792.07
2011-02-01,781.66
2011-03-01,780.89
2011-04-01,785.23
2011-05-01,797.53
2011-06-01,782.38
2011-07-01,789.14
2011-08-01,786.04
2011-09-01,790.62
2011-10-01,810.84
2011-11-01,794.05
2011-12-01,798.42
2012-01-01,812.48
2012-02-01,800.28
2012-03-01,799.94
2012-04-01,816.91
2012-05-01,797.54
2012-06-01,800.14
2012-07-01,814.76
2012-08-01,802.47
2012-09-01,823.37
2012-10-01,806.39
2012-11-01,808.79
2012-12-01,829.63
2013-01-01,811.58
2013-02-01,817.38
2013-03-01,817.37
2013-04-01,820.46
2013-05-01,816.00
2013-06-01,834.81
2013-07-01,818.72
2013-08-01,820.76
2013-09-01,843.18
2013-10-01,826.98
2013-11-01,829.38
2013-12-01,843.21
2014-01-01,827.56
2014-02-01,845.55
2014-03-01,849.80
2014-04-01,839.36
2014-05-01,835.92
2014-06-01,852.26
2014-07-01,838.35
2014-08-01,841.47
2014-09-01,844.91
2014-10-01,845.94
2014-11-01,864.82
2014-12-01,850.47
2015-01-01,850.55
2015-02-01,866.73
2015-03-01,868.89
2015-04-01,857.94
2015-05-01,855.87
2015-06-01,854.22
2015-07-01,856.64
2015-08-01,878.90
2015-09-01,859.22
2015-10-01,867.33
2015-11-01,882.88
2015-12-01,869.40
2016-01-01,872.10
2016-02-01,868.87
2016-03-01,871.76
2016-04-01,877.74
2016-05-01,888.18
2016-06-01,874.10
2016-07-01,877.89
2016-08-01,877.20
2016-09-01,885.11
2016-10-01,905.50
2016-11-01,886.31
2016-12-01,887.34
2017-01-01,905.06
2017-02-01,892.40
2017-03-01,891.37
2017-04-01,914.13
2017-05-01,896.26
2017-06-01,895.43
2017-07-01,916.98
2017-08-01,900.25
2017-09-01,907.58
2017-10-01,926.38
2017-11-01,910.57
2017-12-01,917.01
2018-01-01,913.24
2018-02-01,920.61
2018-03-01,921.64
2018-04-01,945.17
2018-05-01,925.36
2018-06-01,926.93
2018-07-01,945.79
2018-08-01,934.20
2018-09-01,955.26
2018-10-01,939.46
2018-11-01,940.84
2018-12-01,966.38
2019-01-01,945.25
2019-02-01,947.64
2019-03-01,953.20
2019-04-01,955.60
2019-05-01,952.85
2019-06-01,973.71
2019-07-01,955.60
2019-08-01,963.93
2019-09-01,984.84
2019-10-01,966.92
2019-11-01,966.49
2019-12-01,989.30
2020-01-01,968.18
2020-02-01,991.06
2020-03-01,991.61
2020-04-01,1027.09
2020-05-01,1025.54
2020-06-01,1007.21
2020-07-01,1008.09
2020-08-01,1035.80
2020-09-01,1016.03
2020-10-01,1025.56
2020-11-01,1044.58
2020-12-01,1038.43
2021-01-01,1040.08
2021-02-01,1033.46
2021-03-01,1042.04
2021-04-01,1054.79
2021-05-01,1074.30
2021-06-01,1053.74
2021-07-01,1058.00
2021-08-01,1081.43
2021-09-01,1066.05
2021-10-01,1078.48
2021-11-01,1080.21
2021-12-01,1089.94
2022-01-01,1102.62
2022-02-01,1094.00
2022-03-01,1097.10
2022-04-01,1102.52
2022-05-01,1121.26
2022-06-01,1104.78
2022-07-01,1110.90
2022-08-01,1112.63
2022-09-01,1120.91
2022-10-01,1147.16
2022-11-01,1125.22
2022-12-01,1130.38
2023-01-01,1155.64
2023-02-01,1138.76
2023-03-01,1137.49
2023-04-01,1168.44
2023-05-01,1144.33
2023-06-01,1146.65
2023-07-01,1177.37
2023-08-01,1159.97
2023-09-01,1164.83
2023-10-01,1189.17
2023-11-01,1168.94
2023-12-01,1178.54
2024-01-01,1172.18
2024-02-01,1180.20
