DATE,BOGZ1FU096060035Q
1946-10-01,18243.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,24164.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,31393.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,29058.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,36059.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,41198.0
1952-01-01,10007.0
1952-04-01,9533.0
1952-07-01,9518.0
1952-10-01,10608.0
1953-01-01,10835.0
1953-04-01,10627.0
1953-07-01,10328.0
1953-10-01,8504.0
1954-01-01,9127.0
1954-04-01,9462.0
1954-07-01,9974.0
1954-10-01,10898.0
1955-01-01,12201.0
1955-04-01,12527.0
1955-07-01,12544.0
1955-10-01,12896.0
1956-01-01,12355.0
1956-04-01,12411.0
1956-07-01,12328.0
1956-10-01,12554.0
1957-01-01,12915.0
1957-04-01,12572.0
1957-07-01,12335.0
1957-10-01,11318.0
1958-01-01,9867.0
1958-04-01,10152.0
1958-07-01,11190.0
1958-10-01,12648.0
1959-01-01,13567.0
1959-04-01,14767.0
1959-07-01,13548.0
1959-10-01,13634.0
1960-01-01,14652.0
1960-04-01,13699.0
1960-07-01,13452.0
1960-10-01,12877.0
1961-01-01,12561.0
1961-04-01,13621.0
1961-07-01,14311.0
1961-10-01,15454.0
1962-01-01,15638.0
1962-04-01,15630.0
1962-07-01,16061.0
1962-10-01,16714.0
1963-01-01,16799.0
1963-04-01,17557.0
1963-07-01,17914.0
1963-10-01,18238.0
1964-01-01,19263.0
1964-04-01,19330.0
1964-07-01,19610.0
1964-10-01,19505.0
1965-01-01,21461.0
1965-04-01,22012.0
1965-07-01,22315.0
1965-10-01,23502.0
1966-01-01,24344.0
1966-04-01,24093.0
1966-07-01,23707.0
1966-10-01,23978.0
1967-01-01,23332.0
1967-04-01,23038.0
1967-07-01,23304.0
1967-10-01,24192.0
1968-01-01,24531.0
1968-04-01,25529.0
1968-07-01,25661.0
1968-10-01,26028.0
1969-01-01,25869.0
1969-04-01,25083.0
1969-07-01,24355.0
1969-10-01,23110.0
1970-01-01,21166.0
1970-04-01,22118.0
1970-07-01,22096.0
1970-10-01,20865.0
1971-01-01,24156.0
1971-04-01,24685.0
1971-07-01,25359.0
1971-10-01,26448.0
1972-01-01,27879.0
1972-04-01,28352.0
1972-07-01,29543.0
1972-10-01,31437.0
1973-01-01,33374.0
1973-04-01,32813.0
1973-07-01,33257.0
1973-10-01,33946.0
1974-01-01,32574.0
1974-04-01,32231.0
1974-07-01,31071.0
1974-10-01,29828.0
1975-01-01,29438.0
1975-04-01,32235.0
1975-07-01,37441.0
1975-10-01,39746.0
1976-01-01,43778.0
1976-04-01,43288.0
1976-07-01,43687.0
1976-10-01,43586.0
1977-01-01,46030.0
1977-04-01,51228.0
1977-07-01,54910.0
1977-10-01,53615.0
1978-01-01,52485.0
1978-04-01,59931.0
1978-07-01,61556.0
1978-10-01,64597.0
1979-01-01,62507.0
1979-04-01,63110.0
1979-07-01,62572.0
1979-10-01,61027.0
1980-01-01,59350.0
1980-04-01,51692.0
1980-07-01,53519.0
1980-10-01,58565.0
1981-01-01,60783.0
1981-04-01,59832.0
1981-07-01,64023.0
1981-10-01,61257.0
1982-01-01,54960.0
1982-04-01,58532.0
1982-07-01,57884.0
1982-10-01,56380.0
1983-01-01,60598.0
1983-04-01,68156.0
1983-07-01,72361.0
1983-10-01,76788.0
1984-01-01,83935.0
1984-04-01,84419.0
1984-07-01,83282.0
1984-10-01,85631.0
1985-01-01,86739.0
1985-04-01,87569.0
1985-07-01,91819.0
1985-10-01,86951.0
1986-01-01,84631.0
1986-04-01,81207.0
1986-07-01,78740.0
1986-10-01,78987.0
1987-01-01,82427.0
1987-04-01,92042.0
1987-07-01,97982.0
