DATE,ND000336Q
2007-01-01,467.681
2007-04-01,499.659
2007-07-01,505.643
2007-10-01,523.077
2008-01-01,497.996
2008-04-01,517.051
2008-07-01,506.58
2008-10-01,486.69
2009-01-01,420.504
2009-04-01,426.918
2009-07-01,429.588
2009-10-01,439.38
2010-01-01,409.871
2010-04-01,446.998
2010-07-01,457.954
2010-10-01,479.462
2011-01-01,446.665
2011-04-01,479.872
2011-07-01,500.402
2011-10-01,524.315
2012-01-01,507.069
2012-04-01,539.602
2012-07-01,533.377
2012-10-01,557.078
2013-01-01,526.452
2013-04-01,555.975
2013-07-01,562.836
2013-10-01,593.302
2014-01-01,559.213
2014-04-01,603.293
2014-07-01,614.664
2014-10-01,643.881
2015-01-01,594.119
2015-04-01,628.824
2015-07-01,630.088
2015-10-01,645.851
2016-01-01,599.782
2016-04-01,636.425
2016-07-01,643.106
2016-10-01,665.465
2017-01-01,622.27
2017-04-01,664.687
2017-07-01,669.43
2017-10-01,704.713
2018-01-01,670.177
2018-04-01,713.245
2018-07-01,716.245
2018-10-01,744.652
2019-01-01,694.664
2019-04-01,742.935
2019-07-01,747.619
2019-10-01,764.882
2020-01-01,699.583
2020-04-01,670.238
2020-07-01,700.545
2020-10-01,740.274
2021-01-01,702.002
2021-04-01,747.747
2021-07-01,749.479
2021-10-01,776.241
2022-01-01,741.665
2022-04-01,780.938
2022-07-01,793.287
2022-10-01,815.688
2023-01-01,775.146
2023-04-01,818.487
2023-07-01,825.564
2023-10-01,851.552
