DATE,HNOREMV
1945-10-01,134.635
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,158.074
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,206.381
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,229.359
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,246.931
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,278.126
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,308.963
1952-01-01,311.906
1952-04-01,322.754
1952-07-01,324.183
1952-10-01,334.895
1953-01-01,340.387
1953-04-01,347.238
1953-07-01,357.332
1953-10-01,355.919
1954-01-01,357.485
1954-04-01,361.814
1954-07-01,371.385
1954-10-01,379.599
1955-01-01,384.467
1955-04-01,394.908
1955-07-01,406.169
1955-10-01,414.487
1956-01-01,424.188
1956-04-01,433.166
1956-07-01,440.946
1956-10-01,445.773
1957-01-01,453.596
1957-04-01,461.358
1957-07-01,468.792
1957-10-01,471.674
1958-01-01,468.427
1958-04-01,474.349
1958-07-01,484.262
1958-10-01,493.819
1959-01-01,493.678
1959-04-01,504.127
1959-07-01,513.598
1959-10-01,521.544
1960-01-01,534.527
1960-04-01,539.185
1960-07-01,545.818
1960-10-01,547.589
1961-01-01,545.98
1961-04-01,556.95
1961-07-01,567.01
1961-10-01,576.368
1962-01-01,584.759
1962-04-01,590.011
1962-07-01,594.92
1962-10-01,603.604
1963-01-01,611.427
1963-04-01,612.853
1963-07-01,623.306
1963-10-01,628.622
1964-01-01,630.274
1964-04-01,643.749
1964-07-01,649.814
1964-10-01,662.499
1965-01-01,669.614
1965-04-01,675.093
1965-07-01,681.036
1965-10-01,696.286
1966-01-01,696.079
1966-04-01,726.016
1966-07-01,728.57
1966-10-01,748.935
1967-01-01,753.32
1967-04-01,762.765
1967-07-01,774.483
1967-10-01,794.221
1968-01-01,817.753
1968-04-01,836.122
1968-07-01,849.479
1968-10-01,889.605
1969-01-01,914.582
1969-04-01,932.881
1969-07-01,945.017
1969-10-01,968.674
1970-01-01,973.544
1970-04-01,1006.44
1970-07-01,1005.793
1970-10-01,1025.204
1971-01-01,1051.931
1971-04-01,1078.498
1971-07-01,1104.238
1971-10-01,1127.739
1972-01-01,1171.254
1972-04-01,1192.509
1972-07-01,1232.534
1972-10-01,1290.675
1973-01-01,1322.715
1973-04-01,1369.699
1973-07-01,1430.284
1973-10-01,1472.632
1974-01-01,1462.386
1974-04-01,1461.485
1974-07-01,1475.406
1974-10-01,1517.696
1975-01-01,1582.858
1975-04-01,1642.027
1975-07-01,1642.336
1975-10-01,1684.206
1976-01-01,1717.934
1976-04-01,1789.837
1976-07-01,1826.561
1976-10-01,1880.025
1977-01-01,1949.358
1977-04-01,2047.57
