DATE,IPB50001N
1919-01-01,4.7851
1919-02-01,4.5970
1919-03-01,4.4894
1919-04-01,4.5701
1919-05-01,4.7045
1919-06-01,5.0002
1919-07-01,5.1615
1919-08-01,5.2690
1919-09-01,5.2959
1919-10-01,5.2690
1919-11-01,5.1615
1919-12-01,4.8120
1920-01-01,5.4841
1920-02-01,5.5110
1920-03-01,5.5110
1920-04-01,5.1615
1920-05-01,5.4841
1920-06-01,5.4841
1920-07-01,5.1884
1920-08-01,5.2959
1920-09-01,5.1884
1920-10-01,5.0540
1920-11-01,4.5701
1920-12-01,4.0055
1921-01-01,3.9249
1921-02-01,3.8711
1921-03-01,3.7636
1921-04-01,3.7905
1921-05-01,3.9787
1921-06-01,3.9249
1921-07-01,3.7905
1921-08-01,3.9787
1921-09-01,4.0862
1921-10-01,4.3550
1921-11-01,4.2475
1921-12-01,3.8980
1922-01-01,4.2475
1922-02-01,4.5432
1922-03-01,4.8120
1922-04-01,4.5970
1922-05-01,4.8927
1922-06-01,5.1346
1922-07-01,5.0002
1922-08-01,4.9196
1922-09-01,5.2959
1922-10-01,5.6992
1922-11-01,5.8604
1922-12-01,5.6454
1923-01-01,5.6454
1923-02-01,5.8336
1923-03-01,6.1024
1923-04-01,6.2099
1923-05-01,6.3712
1923-06-01,6.2906
1923-07-01,6.0755
1923-08-01,6.1024
1923-09-01,6.1024
1923-10-01,6.1024
1923-11-01,5.9411
1923-12-01,5.4841
1924-01-01,5.7260
1924-02-01,5.9680
1924-03-01,5.9680
1924-04-01,5.7529
1924-05-01,5.5379
1924-06-01,5.2690
1924-07-01,5.0540
1924-08-01,5.3766
1924-09-01,5.7260
1924-10-01,5.8604
1924-11-01,5.8067
1924-12-01,5.6454
1925-01-01,5.9680
1925-02-01,6.1024
1925-03-01,6.1830
1925-04-01,6.2099
1925-05-01,6.2099
1925-06-01,6.1024
1925-07-01,6.1024
1925-08-01,6.2099
1925-09-01,6.2906
1925-10-01,6.5056
1925-11-01,6.4519
1925-12-01,6.1830
1926-01-01,6.2099
1926-02-01,6.4250
1926-03-01,6.5594
1926-04-01,6.5325
1926-05-01,6.5325
1926-06-01,6.5325
1926-07-01,6.4250
1926-08-01,6.7476
1926-09-01,6.9895
1926-10-01,6.9895
1926-11-01,6.7476
1926-12-01,6.3175
1927-01-01,6.4250
1927-02-01,6.7476
1927-03-01,6.8820
1927-04-01,6.7476
1927-05-01,6.7745
1927-06-01,6.7207
1927-07-01,6.4250
1927-08-01,6.6401
1927-09-01,6.7207
1927-10-01,6.6132
1927-11-01,6.3175
1927-12-01,5.9949
1928-01-01,6.2637
1928-02-01,6.5594
1928-03-01,6.7207
1928-04-01,6.7207
1928-05-01,6.7745
1928-06-01,6.7745
1928-07-01,6.6669
1928-08-01,7.0164
1928-09-01,7.2852
1928-10-01,7.4197
1928-11-01,7.1777
1928-12-01,6.7745
1929-01-01,7.1777
1929-02-01,7.4734
1929-03-01,7.5810
1929-04-01,7.7960
1929-05-01,7.9842
1929-06-01,7.9035
1929-07-01,7.7422
1929-08-01,7.8767
1929-09-01,8.0380
1929-10-01,7.9035
1929-11-01,7.1777
1929-12-01,6.4519
1930-01-01,6.6401
1930-02-01,6.8820
1930-03-01,6.8282
1930-04-01,6.9089
1930-05-01,6.8820
1930-06-01,6.6132
1930-07-01,6.1024
1930-08-01,6.0755
1930-09-01,6.1830
1930-10-01,5.9680
1930-11-01,5.5379
1930-12-01,5.1615
1931-01-01,5.1884
1931-02-01,5.4841
1931-03-01,5.6185
1931-04-01,5.7529
1931-05-01,5.6992
1931-06-01,5.4841
1931-07-01,5.2690
1931-08-01,5.1615
1931-09-01,5.1346
1931-10-01,4.8927
1931-11-01,4.6507
1931-12-01,4.3819
1932-01-01,4.3550
1932-02-01,4.4357
1932-03-01,4.3281
1932-04-01,4.1400
1932-05-01,4.0055
1932-06-01,3.8711
1932-07-01,3.6292
1932-08-01,3.7636
1932-09-01,4.2206
1932-10-01,4.3281
1932-11-01,4.1400
1932-12-01,3.8980
1933-01-01,3.8980
1933-02-01,4.0324
1933-03-01,3.7636
1933-04-01,4.1131
1933-05-01,4.8120
1933-06-01,5.5110
1933-07-01,5.8604
1933-08-01,5.6992
1933-09-01,5.5916
1933-10-01,5.1884
1933-11-01,4.7851
1933-12-01,4.6507
1934-01-01,4.8120
1934-02-01,5.2690
1934-03-01,5.5379
1934-04-01,5.6454
1934-05-01,5.7260
1934-06-01,5.6185
1934-07-01,5.1077
1934-08-01,5.1346
1934-09-01,5.0271
1934-10-01,5.1077
1934-11-01,4.9464
1934-12-01,5.1346
1935-01-01,5.6185
1935-02-01,5.9411
1935-03-01,5.9142
1935-04-01,5.8336
1935-05-01,5.8336
1935-06-01,5.8336
1935-07-01,5.7529
1935-08-01,6.0755
1935-09-01,6.3175
1935-10-01,6.6132
1935-11-01,6.6132
1935-12-01,6.4519
1936-01-01,6.3175
1936-02-01,6.3175
1936-03-01,6.4250
1936-04-01,6.8820
1936-05-01,7.0971
1936-06-01,7.1239
1936-07-01,7.1239
1936-08-01,7.3659
1936-09-01,7.6616
1936-10-01,7.8767
1936-11-01,7.9035
1936-12-01,7.9035
1937-01-01,7.6885
1937-02-01,8.0111
1937-03-01,8.3337
1937-04-01,8.3874
1937-05-01,8.4950
1937-06-01,8.2530
1937-07-01,8.1186
1937-08-01,8.2530
1937-09-01,8.1993
1937-10-01,7.6885
1937-11-01,6.7476
1937-12-01,5.9680
