DATE,NA000335Q
1947-01-01,9220.0
1947-04-01,7626.0
1947-07-01,9663.0
1947-10-01,10620.0
1948-01-01,12062.0
1948-04-01,11433.0
1948-07-01,14038.0
1948-10-01,12814.0
1949-01-01,11161.0
1949-04-01,7904.0
1949-07-01,10934.0
1949-10-01,9100.0
1950-01-01,12144.0
1950-04-01,11778.0
1950-07-01,15672.0
1950-10-01,16937.0
1951-01-01,16685.0
1951-04-01,15833.0
1951-07-01,16299.0
1951-10-01,13939.0
1952-01-01,15350.0
1952-04-01,12401.0
1952-07-01,14807.0
1952-10-01,14716.0
1953-01-01,15965.0
1953-04-01,15162.0
1953-07-01,15777.0
1953-10-01,13512.0
1954-01-01,14673.0
1954-04-01,13431.0
1954-07-01,15203.0
1954-10-01,14763.0
1955-01-01,17584.0
1955-04-01,17630.0
1955-07-01,19403.0
1955-10-01,19139.0
1956-01-01,19780.0
1956-04-01,18582.0
1956-07-01,20136.0
1956-10-01,19185.0
1957-01-01,19477.0
1957-04-01,18995.0
1957-07-01,20117.0
1957-10-01,17915.0
1958-01-01,16572.0
1958-04-01,16358.0
1958-07-01,18368.0
1958-10-01,19651.0
1959-01-01,20892.0
1959-04-01,22366.0
1959-07-01,20884.0
1959-10-01,21528.0
1960-01-01,23590.0
1960-04-01,21704.0
1960-07-01,22015.0
1960-10-01,19170.0
1961-01-01,19630.0
1961-04-01,21217.0
1961-07-01,22914.0
1961-10-01,22822.0
1962-01-01,24712.0
1962-04-01,23863.0
1962-07-01,24655.0
1962-10-01,23747.0
1963-01-01,25355.0
1963-04-01,25314.0
1963-07-01,26287.0
1963-10-01,26329.0
1964-01-01,27384.0
1964-04-01,27416.0
1964-07-01,28305.0
1964-10-01,29046.0
1965-01-01,31866.0
1965-04-01,31742.0
1965-07-01,32682.0
1965-10-01,33356.0
1966-01-01,34893.0
1966-04-01,35666.0
1966-07-01,35454.0
1966-10-01,38175.0
1967-01-01,35147.0
1967-04-01,34036.0
1967-07-01,35296.0
1967-10-01,38219.0
1968-01-01,35511.0
1968-04-01,39927.0
1968-07-01,39193.0
1968-10-01,42288.0
1969-01-01,40968.0
1969-04-01,44358.0
1969-07-01,44056.0
1969-10-01,44179.0
1970-01-01,40483.0
1970-04-01,43135.0
1970-07-01,42528.0
1970-10-01,43909.0
1971-01-01,45323.0
1971-04-01,49882.0
1971-07-01,49626.0
1971-10-01,51993.0
1972-01-01,52275.0
1972-04-01,57212.0
1972-07-01,57520.0
1972-10-01,61136.0
1973-01-01,61623.0
1973-04-01,65866.0
1973-07-01,65903.0
1973-10-01,73534.0
1974-01-01,66506.0
1974-04-01,67673.0
1974-07-01,67278.0
1974-10-01,73070.0
1975-01-01,60889.0
1975-04-01,59407.0
1975-07-01,65271.0
1975-10-01,71687.0
1976-01-01,75005.0
1976-04-01,79439.0
1976-07-01,81812.0
1976-10-01,86969.0
1977-01-01,88617.0
1977-04-01,96900.0
1977-07-01,103705.0
1977-10-01,107390.0
1978-01-01,105137.0
1978-04-01,116992.0
1978-07-01,125589.0
1978-10-01,130658.0
1979-01-01,129319.0
1979-04-01,134131.0
1979-07-01,137597.0
1979-10-01,138603.0
1980-01-01,137442.0
1980-04-01,129030.0
1980-07-01,125817.0
1980-10-01,137811.0
1981-01-01,150949.0
1981-04-01,153581.0
1981-07-01,167801.0
1981-10-01,158898.0
1982-01-01,147330.0
1982-04-01,147549.0
1982-07-01,150618.0
1982-10-01,135537.0
1983-01-01,141530.0
1983-04-01,153207.0
1983-07-01,167320.0
1983-10-01,175459.0
1984-01-01,195918.0
1984-04-01,204455.0
1984-07-01,215234.0
1984-10-01,204482.0
1985-01-01,200238.0
1985-04-01,206003.0
1985-07-01,211697.0
1985-10-01,211713.0
1986-01-01,214120.0
1986-04-01,214028.0
1986-07-01,216479.0
1986-10-01,204521.0
1987-01-01,214109.0
1987-04-01,218510.0
1987-07-01,227260.0
1987-10-01,232297.0
1988-01-01,221195.0
1988-04-01,232467.0
1988-07-01,245116.0
1988-10-01,238184.0
1989-01-01,246357.0
1989-04-01,249025.0
1989-07-01,259263.0
1989-10-01,245055.0
1990-01-01,245902.0
1990-04-01,250745.0
1990-07-01,262249.0
1990-10-01,234553.0
1991-01-01,225865.0
1991-04-01,227685.0
1991-07-01,249195.0
1991-10-01,241599.0
1992-01-01,233512.0
1992-04-01,250814.0
1992-07-01,269671.0
1992-10-01,259010.0
1993-01-01,263924.0
1993-04-01,269413.0
1993-07-01,290469.0
1993-10-01,283021.0
1994-01-01,290755.0
1994-04-01,313602.0
1994-07-01,330306.0
1994-10-01,321822.0
1995-01-01,322065.0
1995-04-01,323992.0
1995-07-01,342030.0
1995-10-01,329403.0
1996-01-01,327799.0
1996-04-01,350369.0
1996-07-01,388773.0
1996-10-01,365113.0
1997-01-01,368040.0
1997-04-01,394920.0
1997-07-01,426992.0
1997-10-01,405648.0
1998-01-01,415090.0
1998-04-01,425795.0
1998-07-01,456167.0
1998-10-01,439620.0
1999-01-01,448163.0
1999-04-01,461037.0
1999-07-01,494182.0
1999-10-01,483676.0
2000-01-01,472211.0
2000-04-01,519162.0
2000-07-01,535754.0
2000-10-01,511281.0
2001-01-01,475341.0
2001-04-01,490475.0
2001-07-01,511694.0
2001-10-01,457332.0
2002-01-01,455830.0
2002-04-01,483363.0
2002-07-01,509206.0
2002-10-01,482019.0
2003-01-01,481537.0
2003-04-01,493045.0
2003-07-01,528670.0
2003-10-01,523803.0
2004-01-01,524727.0
2004-04-01,574358.0
2004-07-01,599529.0
2004-10-01,582640.0
2005-01-01,593885.0
2005-04-01,625240.0
2005-07-01,671118.0
2005-10-01,644477.0
2006-01-01,659354.0
2006-04-01,693079.0
2006-07-01,699905.0
2006-10-01,648616.0
2007-01-01,644445.0
2007-04-01,680179.0
2007-07-01,696815.0
2007-10-01,651572.0
2008-01-01,643558.0
2008-04-01,632395.0
2008-07-01,637370.0
2008-10-01,564291.0
2009-01-01,484254.0
2009-04-01,455388.0
2009-07-01,492032.0
2009-10-01,497990.0
2010-01-01,487495.0
2010-04-01,538341.0
2010-07-01,587834.0
2010-10-01,551802.0
2011-01-01,548397.0
2011-04-01,565525.0
2011-07-01,612213.0
2011-10-01,606428.0
2012-01-01,638154.0
2012-04-01,648053.0
2012-07-01,693223.0
2012-10-01,642324.0
2013-01-01,669302.0
2013-04-01,690881.0
2013-07-01,762271.0
2013-10-01,715875.0
2014-01-01,716131.0
2014-04-01,758360.0
2014-07-01,823385.0
2014-10-01,776105.0
2015-01-01,796553.0
2015-04-01,830734.0
2015-07-01,865708.0
2015-10-01,795486.0
2016-01-01,789925.0
2016-04-01,818448.0
2016-07-01,850010.0
2016-10-01,814256.0
2017-01-01,790710.0
2017-04-01,871837.0
2017-07-01,923544.0
2017-10-01,881573.0
2018-01-01,880656.0
2018-04-01,920353.0
2018-07-01,989328.0
2018-10-01,934433.0
2019-01-01,937012.0
2019-04-01,984706.0
2019-07-01,1023482.0
2019-10-01,947202.0
2020-01-01,929224.0
2020-04-01,823368.0
2020-07-01,1006283.0
2020-10-01,989478.0
2021-01-01,972194.0
2021-04-01,995994.0
2021-07-01,1108674.0
2021-10-01,1139389.0
2022-01-01,1166908.0
2022-04-01,1178580.0
2022-07-01,1244878.0
2022-10-01,1166280.0
2023-01-01,1173296.0
2023-04-01,1188622.0
2023-07-01,1271239.0
2023-10-01,1214662.0
