DATE,Series,Values
1913 Feb,CPI,0
1913 Feb,Wage_Growth,NA
1913 Feb,PPI,-0.8264462809917328
1913 Feb,Oil_Prices,NA
1913 Feb,Exchange_Rates,NA
1913 Feb,Unemp_Rate,NA
1913 Mar,CPI,0
1913 Mar,Wage_Growth,NA
1913 Mar,PPI,0
1913 Mar,Oil_Prices,NA
1913 Mar,Exchange_Rates,NA
1913 Mar,Unemp_Rate,NA
1913 Apr,CPI,0
1913 Apr,Wage_Growth,NA
1913 Apr,PPI,0
1913 Apr,Oil_Prices,NA
1913 Apr,Exchange_Rates,NA
1913 Apr,Unemp_Rate,NA
1913 May,CPI,-1.0204081632653184
1913 May,Wage_Growth,NA
1913 May,PPI,-0.8333333333333304
1913 May,Oil_Prices,NA
1913 May,Exchange_Rates,NA
1913 May,Unemp_Rate,NA
1913 Jun,CPI,1.030927835051565
1913 Jun,Wage_Growth,NA
1913 Jun,PPI,0
1913 Jun,Oil_Prices,NA
1913 Jun,Exchange_Rates,NA
1913 Jun,Unemp_Rate,NA
1913 Jul,CPI,1.0204081632652962
1913 Jul,Wage_Growth,NA
1913 Jul,PPI,0.8403361344537785
1913 Jul,Oil_Prices,NA
1913 Jul,Exchange_Rates,NA
1913 Jul,Unemp_Rate,NA
1913 Aug,CPI,0
1913 Aug,Wage_Growth,NA
1913 Aug,PPI,0
1913 Aug,Oil_Prices,NA
1913 Aug,Exchange_Rates,NA
1913 Aug,Unemp_Rate,NA
1913 Sep,CPI,1.0101010101010166
1913 Sep,Wage_Growth,NA
1913 Sep,PPI,1.6666666666666607
1913 Sep,Oil_Prices,NA
1913 Sep,Exchange_Rates,NA
1913 Sep,Unemp_Rate,NA
1913 Oct,CPI,0
1913 Oct,Wage_Growth,NA
1913 Oct,PPI,0
1913 Oct,Oil_Prices,NA
1913 Oct,Exchange_Rates,NA
1913 Oct,Unemp_Rate,NA
1913 Nov,CPI,1.0000000000000009
1913 Nov,Wage_Growth,NA
1913 Nov,PPI,-0.8196721311475419
1913 Nov,Oil_Prices,NA
1913 Nov,Exchange_Rates,NA
1913 Nov,Unemp_Rate,NA
1913 Dec,CPI,-0.990099009900991
1913 Dec,Wage_Growth,NA
1913 Dec,PPI,-1.6528925619834656
1913 Dec,Oil_Prices,NA
1913 Dec,Exchange_Rates,NA
1913 Dec,Unemp_Rate,NA
1914 Jan,CPI,0
1914 Jan,Wage_Growth,NA
1914 Jan,PPI,-0.8403361344537785
1914 Jan,Oil_Prices,NA
1914 Jan,Exchange_Rates,NA
1914 Jan,Unemp_Rate,NA
1914 Feb,CPI,-1.0000000000000009
1914 Feb,Wage_Growth,NA
1914 Feb,PPI,0
1914 Feb,Oil_Prices,NA
1914 Feb,Exchange_Rates,NA
1914 Feb,Unemp_Rate,NA
1914 Mar,CPI,0
1914 Mar,Wage_Growth,NA
1914 Mar,PPI,-0.8474576271186529
1914 Mar,Oil_Prices,NA
1914 Mar,Exchange_Rates,NA
1914 Mar,Unemp_Rate,NA
1914 Apr,CPI,-1.0101010101010055
1914 Apr,Wage_Growth,NA
1914 Apr,PPI,0
1914 Apr,Oil_Prices,NA
1914 Apr,Exchange_Rates,NA
1914 Apr,Unemp_Rate,NA
1914 May,CPI,1.0204081632652962
1914 May,Wage_Growth,NA
1914 May,PPI,-0.8547008547008517
1914 May,Oil_Prices,NA
1914 May,Exchange_Rates,NA
1914 May,Unemp_Rate,NA
1914 Jun,CPI,0
1914 Jun,Wage_Growth,NA
1914 Jun,PPI,0
1914 Jun,Oil_Prices,NA
1914 Jun,Exchange_Rates,NA
1914 Jun,Unemp_Rate,NA
1914 Jul,CPI,1.0101010101010166
1914 Jul,Wage_Growth,NA
1914 Jul,PPI,0
1914 Jul,Oil_Prices,NA
1914 Jul,Exchange_Rates,NA
1914 Jul,Unemp_Rate,NA
1914 Aug,CPI,2.0000000000000018
1914 Aug,Wage_Growth,NA
1914 Aug,PPI,3.4482758620689724
1914 Aug,Oil_Prices,NA
1914 Aug,Exchange_Rates,NA
1914 Aug,Unemp_Rate,NA
1914 Sep,CPI,0
1914 Sep,Wage_Growth,NA
1914 Sep,PPI,0.8333333333333304
1914 Sep,Oil_Prices,NA
1914 Sep,Exchange_Rates,NA
1914 Sep,Unemp_Rate,NA
1914 Oct,CPI,-0.9803921568627416
1914 Oct,Wage_Growth,NA
1914 Oct,PPI,-3.3057851239669422
1914 Oct,Oil_Prices,NA
1914 Oct,Exchange_Rates,NA
1914 Oct,Unemp_Rate,NA
1914 Nov,CPI,0.990099009900991
1914 Nov,Wage_Growth,NA
1914 Nov,PPI,0
1914 Nov,Oil_Prices,NA
1914 Nov,Exchange_Rates,NA
1914 Nov,Unemp_Rate,NA
1914 Dec,CPI,-0.9803921568627416
1914 Dec,Wage_Growth,NA
1914 Dec,PPI,-0.8547008547008517
1914 Dec,Oil_Prices,NA
1914 Dec,Exchange_Rates,NA
1914 Dec,Unemp_Rate,NA
1915 Jan,CPI,0
1915 Jan,Wage_Growth,NA
1915 Jan,PPI,1.7241379310344973
1915 Jan,Oil_Prices,NA
1915 Jan,Exchange_Rates,NA
1915 Jan,Unemp_Rate,NA
1915 Feb,CPI,-0.990099009900991
1915 Feb,Wage_Growth,NA
1915 Feb,PPI,0
1915 Feb,Oil_Prices,NA
1915 Feb,Exchange_Rates,NA
1915 Feb,Unemp_Rate,NA
1915 Mar,CPI,-1.0000000000000009
1915 Mar,Wage_Growth,NA
1915 Mar,PPI,0
1915 Mar,Oil_Prices,NA
1915 Mar,Exchange_Rates,NA
1915 Mar,Unemp_Rate,NA
1915 Apr,CPI,1.0101010101010166
1915 Apr,Wage_Growth,NA
1915 Apr,PPI,0
1915 Apr,Oil_Prices,NA
1915 Apr,Exchange_Rates,NA
1915 Apr,Unemp_Rate,NA
1915 May,CPI,1.0000000000000009
1915 May,Wage_Growth,NA
1915 May,PPI,0.8474576271186418
1915 May,Oil_Prices,NA
1915 May,Exchange_Rates,NA
1915 May,Unemp_Rate,NA
1915 Jun,CPI,0
1915 Jun,Wage_Growth,NA
1915 Jun,PPI,-0.8403361344537785
1915 Jun,Oil_Prices,NA
1915 Jun,Exchange_Rates,NA
1915 Jun,Unemp_Rate,NA
1915 Jul,CPI,0
1915 Jul,Wage_Growth,NA
1915 Jul,PPI,0.8474576271186418
1915 Jul,Oil_Prices,NA
1915 Jul,Exchange_Rates,NA
1915 Jul,Unemp_Rate,NA
1915 Aug,CPI,0
1915 Aug,Wage_Growth,NA
1915 Aug,PPI,-0.8403361344537785
1915 Aug,Oil_Prices,NA
1915 Aug,Exchange_Rates,NA
1915 Aug,Unemp_Rate,NA
1915 Sep,CPI,0
1915 Sep,Wage_Growth,NA
1915 Sep,PPI,0
1915 Sep,Oil_Prices,NA
1915 Sep,Exchange_Rates,NA
1915 Sep,Unemp_Rate,NA
1915 Oct,CPI,0.990099009900991
1915 Oct,Wage_Growth,NA
1915 Oct,PPI,2.5423728813559254
1915 Oct,Oil_Prices,NA
1915 Oct,Exchange_Rates,NA
1915 Oct,Unemp_Rate,NA
1915 Nov,CPI,0.9803921568627638
1915 Nov,Wage_Growth,NA
1915 Nov,PPI,1.6528925619834878
1915 Nov,Oil_Prices,NA
1915 Nov,Exchange_Rates,NA
1915 Nov,Unemp_Rate,NA
1915 Dec,CPI,0
1915 Dec,Wage_Growth,NA
1915 Dec,PPI,4.065040650406493
1915 Dec,Oil_Prices,NA
1915 Dec,Exchange_Rates,NA
1915 Dec,Unemp_Rate,NA
1916 Jan,CPI,0.9708737864077666
1916 Jan,Wage_Growth,NA
1916 Jan,PPI,3.90625
1916 Jan,Oil_Prices,NA
1916 Jan,Exchange_Rates,NA
1916 Jan,Unemp_Rate,NA
1916 Feb,CPI,0
1916 Feb,Wage_Growth,NA
1916 Feb,PPI,1.5037593984962294
1916 Feb,Oil_Prices,NA
1916 Feb,Exchange_Rates,NA
1916 Feb,Unemp_Rate,NA
1916 Mar,CPI,0.9615384615384581
1916 Mar,Wage_Growth,NA
1916 Mar,PPI,2.9629629629629672
1916 Mar,Oil_Prices,NA
1916 Mar,Exchange_Rates,NA
1916 Mar,Unemp_Rate,NA
1916 Apr,CPI,0.952380952380949
1916 Apr,Wage_Growth,NA
1916 Apr,PPI,1.4388489208633004
1916 Apr,Oil_Prices,NA
1916 Apr,Exchange_Rates,NA
1916 Apr,Unemp_Rate,NA
1916 May,CPI,0.943396226415083
1916 May,Wage_Growth,NA
1916 May,PPI,0.7092198581560183
1916 May,Oil_Prices,NA
1916 May,Exchange_Rates,NA
1916 May,Unemp_Rate,NA
1916 Jun,CPI,0.9345794392523477
1916 Jun,Wage_Growth,NA
1916 Jun,PPI,0.7042253521126751
1916 Jun,Oil_Prices,NA
1916 Jun,Exchange_Rates,NA
1916 Jun,Unemp_Rate,NA
1916 Jul,CPI,0
1916 Jul,Wage_Growth,NA
1916 Jul,PPI,0.6993006993006867
1916 Jul,Oil_Prices,NA
1916 Jul,Exchange_Rates,NA
1916 Jul,Unemp_Rate,NA
1916 Aug,CPI,0.92592592592593
